Suburbs,Latitude,Longitude
"Colebee, New Sout",-33.72268999999994,150.85395000000005
"Collaroy, New Sout",-33.73289999999997,151.30154000000005
"Colo, New Sout",-33.869599999999934,151.2069100000001
"Colo Heights, New Sout",-33.772133511197424,150.90998173029078
"Colyton, New Sout",-33.78236999999996,150.79156000000012
"Como, New Sout",-34.00538999999998,151.0616500000001
"Concord West, New Sout",-33.84619999999995,151.0894800000001
"Concord, New Sout",-33.85607999999996,151.10325000000012
"Connells Point, New Sout",-33.984959999999944,151.09849000000008
"Constitution Hill, New Sout",-33.79234999999994,150.97449000000006
"Coogee, New Sout",-33.92065999999994,151.25562000000002
"Cottage Point, New Sout",-33.71343594975422,150.94939438053393
"Cowan, New Sout",-33.76279494900386,150.95184508289762
"Cranebrook, New Sout",-33.71942999999993,150.70995000000005
"Cremorne, New Sout",-33.829909999999984,151.22726000000011
"Cromer, New Sout",-33.73150999999996,151.2706300000001
"Cronulla, New Sout",-34.055159999999944,151.1533300000001
"Crows Nest, New Sout",-33.82515999999998,151.20089000000007
"Croydon Park, New Sout",-33.89719999999994,151.09967000000006
"Croydon, New Sout",-33.87609999999995,151.11386000000005
"Cumberland Reach, New Sout",-33.90410495172446,150.91795009137968
"Currans Hill, New Sout",-34.04502999999994,150.76380000000006
"Darling Point, New Sout",-33.87066999999996,151.2361800000001
"Darlinghurst, New Sout",-33.87914999999998,151.22021000000007
"Darlington, New Sout",-33.89184999999998,151.19356000000005
"Davidson, New Sout",-33.73965999999996,151.19589000000008
"Dawes Point, New Sout",-33.85550999999998,151.20825000000002
"Dean Park, New Sout",-33.73515999999995,150.85228000000006
"Denham Court, New Sout",-33.98142681099995,150.832667409
"Denistone East, New Sout",-33.79437999999993,151.09784000000002
"Denistone West, New Sout",-33.80132999999995,151.0751600000001
